"","station_id","station_name","member_casual","day_of_week","lat","lng","start_ride_count","start_trip_duration","end_ride_count","end_trip_duration","total_ride_count","total_avg_trip_duration"
"173",112,"Green St & Randolph St","casual","Sunday",41.8837,-87.6487,672,1651.98660714286,704,1616.80255681818,1376,1633.98546511628
"174",112,"Green St & Randolph St","casual","Thursday",41.8837,-87.6487,335,1692.79402985075,399,1604.69674185464,734,1644.90463215259
"175",112,"Green St & Randolph St","casual","Tuesday",41.8837,-87.6487,279,2059.6164874552,337,1687.42729970326,616,1856
"176",112,"Green St & Randolph St","casual","Wednesday",41.8837,-87.6487,284,2121.25,328,1545.38109756098,612,1812.61437908497
"177",112,"Green St & Randolph St","member","Friday",41.8837,-87.6487,2088,808.672413793103,2451,667.157894736842,4539,732.256444150694
"178",112,"Green St & Randolph St","member","Monday",41.8837,-87.6487,1793,801.275515895148,1791,702.502512562814,3584,751.916573660714
"179",112,"Green St & Randolph St","member","Saturday",41.8837,-87.6487,1180,865.752542372881,1446,878.404564315353,2626,872.719345011424
"180",112,"Green St & Randolph St","member","Sunday",41.8837,-87.6487,1109,826.139765554554,1325,755.124528301887,2434,787.4811010682
"181",112,"Green St & Randolph St","member","Thursday",41.8837,-87.6487,2058,747.64091350826,2204,702.853448275862,4262,724.480056311591
"182",112,"Green St & Randolph St","member","Tuesday",41.8837,-87.6487,1899,712.317535545024,2001,620.179410294853,3900,665.04358974359
"183",112,"Green St & Randolph St","member","Wednesday",41.8837,-87.6487,2107,762.540104413859,2205,663.145124716553,4312,711.713126159555
"184",113,"Bissell St & Armitage Ave","casual","Friday",41.9184,-87.6522,292,1782.02739726027,325,1906.52615384615,617,1847.60615883306
"185",113,"Bissell St & Armitage Ave","casual","Monday",41.9184,-87.6522,224,1929.69196428571,282,1701.1170212766,506,1802.30434782609
"186",113,"Bissell St & Armitage Ave","casual","Saturday",41.9184,-87.6522,575,2930.66086956522,703,2340.64722617354,1278,2606.10719874804
"187",113,"Bissell St & Armitage Ave","casual","Sunday",41.9184,-87.6522,597,2223.79061976549,678,1829.68879056047,1275,2014.22117647059
"188",113,"Bissell St & Armitage Ave","casual","Thursday",41.9184,-87.6522,293,1700.8566552901,363,1987.38842975207,656,1859.41006097561
"189",113,"Bissell St & Armitage Ave","casual","Tuesday",41.9184,-87.6522,223,2573.5201793722,269,1736.42007434944,492,2115.83739837398
"190",113,"Bissell St & Armitage Ave","casual","Wednesday",41.9184,-87.6522,222,1804.51351351351,282,1764.8475177305,504,1782.31944444444
"191",113,"Bissell St & Armitage Ave","member","Friday",41.9184,-87.6522,1959,644.523226135784,2072,696.407335907336,4031,671.192508062515
"192",113,"Bissell St & Armitage Ave","member","Monday",41.9184,-87.6522,1970,619.421319796954,2014,717.633565044687,3984,669.069779116466
"193",113,"Bissell St & Armitage Ave","member","Saturday",41.9184,-87.6522,1963,733.422822210902,1984,872.52872983871,3947,803.345832277679
"194",113,"Bissell St & Armitage Ave","member","Sunday",41.9184,-87.6522,1967,747.505846466701,2048,716.83349609375,4015,731.860273972603
"195",113,"Bissell St & Armitage Ave","member","Thursday",41.9184,-87.6522,2149,748.707771056305,2173,740.955361251726,4322,744.810041647385
"196",113,"Bissell St & Armitage Ave","member","Tuesday",41.9184,-87.6522,2022,875.736399604352,2177,741.219108865411,4199,805.99499880924
"197",113,"Bissell St & Armitage Ave","member","Wednesday",41.9184,-87.6522,2045,678.768704156479,2224,667.839478417266,4269,673.074959006793
"198",114,"Sheffield Ave & Waveland Ave","casual","Friday",41.9494,-87.6545,675,2344.56296296296,867,2411.76701268743,1542,2382.34889753567
"199",114,"Sheffield Ave & Waveland Ave","casual","Monday",41.9494,-87.6545,457,2253.55579868709,650,2435.84153846154,1107,2360.58897922313
"200",114,"Sheffield Ave & Waveland Ave","casual","Saturday",41.9494,-87.6545,1089,2580.41965105601,1437,2320.52122477383,2526,2432.567695962
"201",114,"Sheffield Ave & Waveland Ave","casual","Sunday",41.9494,-87.6545,950,3802.78315789474,1074,2400.45623836127,2024,3058.66304347826
"202",114,"Sheffield Ave & Waveland Ave","casual","Thursday",41.9494,-87.6545,453,3159.23620309051,540,2122.24814814815,993,2595.31520644512
"203",114,"Sheffield Ave & Waveland Ave","casual","Tuesday",41.9494,-87.6545,438,3040.24429223744,588,2772.38265306122,1026,2886.73294346979
"204",114,"Sheffield Ave & Waveland Ave","casual","Wednesday",41.9494,-87.6545,419,2451.52505966587,595,2453.36974789916,1014,2452.60749506903
"205",114,"Sheffield Ave & Waveland Ave","member","Friday",41.9494,-87.6545,1227,840.866340668297,1518,806.373517786561,2745,821.791621129326
"206",114,"Sheffield Ave & Waveland Ave","member","Monday",41.9494,-87.6545,1193,800.145850796312,1386,907.018759018759,2579,857.58123303606
"207",114,"Sheffield Ave & Waveland Ave","member","Saturday",41.9494,-87.6545,1228,816.490228013029,1475,883.566779661017,2703,853.093229744728
"208",114,"Sheffield Ave & Waveland Ave","member","Sunday",41.9494,-87.6545,1258,841.155007949126,1350,842.616296296296,2608,841.911426380368
